PERIODO;VALOR
2024T4;3,7277
2024T3;2,9067
2024T2;2,5107
2024T1;2,1164
2023T4;2,9508
2023T3;1,2832
2023T2;0,8857
2023T1;1,6492
2022T4;1,5619
2022T3;4,7358
2022T2;5,9857
2022T1;7,4807
2021T4;6,2114
2021T3;5,3625
2021T2;25,7689
2021T1;-4,4721
2020T4;-10,0645
2020T3;-11,0215
2020T2;-24,0534
2020T1;-3,7042
2019T4;2,1452
2019T3;2,5049
2019T2;-1,0096
2019T1;0,3463
2018T4;0,8677
2018T3;1,4756
2018T2;2,2696
2018T1;2,6672
2017T4;3,407
2017T3;3,009
2017T2;2,9302
2017T1;3,127
2016T4;2,5179
2016T3;2,4738
2016T2;2,9676
2016T1;2,4909
2015T4;2,9382
2015T3;3,2766
2015T2;2,7219
2015T1;2,8266
2014T4;2,0231
2014T3;2,2291
2014T2;1,5399
2014T1;1,0956
2013T4;-0,2732
2013T3;-2,2322
2013T2;-3,7271
2013T1;-5,4321
2012T4;-4,3128
2012T3;-4,0462
2012T2;-2,923
2012T1;-2,4038
2011T4;-3,2569
2011T3;-2,22
2011T2;-2,7578
2011T1;-1,4343
2010T4;0,0819
2010T3;-0,0388
2010T2;1,4184
2010T1;0,2137
2009T4;-1,3756
2009T3;-3,0084
2009T2;-4,9171
2009T1;-4,9794
2008T4;-4,023
2008T3;-1,5255
2008T2;0,6324
2008T1;2,3892
2007T4;3,1605
2007T3;3,1744
2007T2;3,5066
2007T1;3,7432
2006T4;4,0107
2006T3;4,0804
2006T2;3,6023
2006T1;4,4122
2005T4;4,0396
2005T3;4,2015
2005T2;4,7243
2005T1;3,3812
2004T4;3,8746
2004T3;3,9668
2004T2;4,0625
2004T1;4,4825
2003T4;3,0181
2003T3;2,8163
2003T2;2,1708
2003T1;1,8679
2002T4;3,0022
2002T3;2,4711
2002T2;3,2177
2002T1;3,6218
2001T4;4,315
2001T3;4,4624
2001T2;3,9916
2001T1;2,7745
2000T4;2,6321
2000T3;3,9083
2000T2;4,5483
2000T1;6,7074
1999T4;3,7005
1999T3;5,7163
1999T2;5,2482
1999T1;4,6284
1998T4;4,5755
1998T3;4,9788
1998T2;4,7657
1998T1;3,4279
1997T4;5,5684
1997T3;1,4171
1997T2;1,6021
1997T1;2,8557
1996T4;2,4166
1996T3;3,0207
1996T2;2,3787
1996T1;2,0702
