Año;Periodo;Confianza del consumidor
2004;Septiembre;96,69
2004;Octubre;90,64
2004;Noviembre;90,05
2004;Diciembre;92,11
2005;Enero;98,03
2005;Febrero;94,74
2005;Marzo;91,99
2005;Abril;90,6
2005;Mayo;91,91
2005;Junio;91,12
2005;Julio;90,72
2005;Agosto;92,7
2005;Septiembre;87,78
2005;Octubre;80,42
2005;Noviembre;89,95
2005;Diciembre;86,55
2006;Enero;88,87
2006;Febrero;87,96
2006;Marzo;89,65
2006;Abril;83,28
2006;Mayo;85,21
2006;Junio;86,26
2006;Julio;87,78
2006;Agosto;84,71
2006;Septiembre;88,02
2006;Octubre;90,46
2006;Noviembre;90,38
2006;Diciembre;85,53
2007;Enero;90,63
2007;Febrero;89,44
2007;Marzo;89,5
2007;Abril;94,43
2007;Mayo;93
2007;Junio;92,73
2007;Julio;92,51
2007;Agosto;86,48
2007;Septiembre;80,16
2007;Octubre;76,18
2007;Noviembre;76,11
2007;Diciembre;72,34
2008;Enero;70,88
2008;Febrero;76,76
2008;Marzo;73,08
2008;Abril;63,81
2008;Mayo;56,44
2008;Junio;51,71
2008;Julio;46,31
2008;Agosto;51,41
2008;Septiembre;49,54
2008;Octubre;50,14
2008;Noviembre;48,7
2008;Diciembre;48,91
2009;Enero;50,06
2009;Febrero;48,61
2009;Marzo;53,74
2009;Abril;61,91
2009;Mayo;63,78
2009;Junio;66,36
2009;Julio;76,14
2009;Agosto;79,51
2009;Septiembre;70,3
2009;Octubre;69,23
2009;Noviembre;75,3
2009;Diciembre;74,7
2010;Enero;78,7
2010;Febrero;71,1
2010;Marzo;72,7
2010;Abril;78,18
2010;Mayo;65,1
2010;Junio;65,9
2010;Julio;73,62
2010;Agosto;74,85
2010;Septiembre;72,8
2010;Octubre;67,1
2010;Noviembre;70
2010;Diciembre;64,57
2011;Enero;70,7
2011;Febrero;73,4
2011;Marzo;68,3
2011;Abril;73,2
2011;Mayo;74,3
2011;Junio;74,9
2011;Julio;73,8
2011;Agosto;73,3
2011;Septiembre;65,8
2011;Octubre;64,1
2011;Noviembre;70,5
2011;Diciembre;71
2012;Enero;68,3
2012;Febrero;58
2012;Marzo;63,67
2012;Abril;50,25
2012;Mayo;50,5
2012;Junio;50,6
2012;Julio;37,6
2012;Agosto;41,6
2012;Septiembre;43,2
2012;Octubre;44,8
2012;Noviembre;45
2012;Diciembre;44,3
2013;Enero;55,7
2013;Febrero;50,7
2013;Marzo;52,1
2013;Abril;56,7
2013;Mayo;50,8
2013;Junio;61,8
2013;Julio;63,3
2013;Agosto;68,6
2013;Septiembre;69,8
2013;Octubre;65,3
2013;Noviembre;72,3
2013;Diciembre;71
2014;Enero;77,7
2014;Febrero;71,5
2014;Marzo;76,3
2014;Abril;82
2014;Mayo;84,9
2014;Junio;89,3
2014;Julio;88,9
2014;Agosto;87,7
2014;Septiembre;89,3
2014;Octubre;86,8
2014;Noviembre;83,6
2014;Diciembre;90,6
2015;Enero;99,6
2015;Febrero;99
2015;Marzo;100,4
2015;Abril;101,8
2015;Mayo;103,1
2015;Junio;101,4
2015;Julio;105,6
2015;Agosto;105,9
2015;Septiembre;106,1
2015;Octubre;99,78
2015;Noviembre;104,6
2015;Diciembre;107,4
2016;Enero;99,05
2016;Febrero;95,22
2016;Marzo;92,6
2016;Abril;91
2016;Mayo;90,73
2016;Junio;96,25
2016;Julio;94,82
2016;Agosto;97,27
2016;Septiembre;90,97
2016;Octubre;90,65
2016;Noviembre;99,37
2016;Diciembre;100,73
2017;Enero;98,25
2017;Febrero;95,07
2017;Marzo;99,65
2017;Abril;106,73
2017;Mayo;105,35
2017;Junio;105,82
2017;Julio;108,27
2017;Agosto;108,77
2017;Septiembre;103,17
2017;Octubre;99,6
2017;Noviembre;100,45
2017;Diciembre;102,45
2018;Enero;102,3
2018;Febrero;99,7
2018;Marzo;98,6
2018;Abril;99,9
2018;Mayo;97,7
2018;Junio;107
2018;Julio;106,1
2018;Agosto;102,4
2018;Septiembre;90,6
2018;Octubre;93
2018;Noviembre;91,4
2018;Diciembre;90,9
2019;Enero;93,8
2019;Febrero;96,1
2019;Marzo;93,9
2019;Abril;97
2019;Mayo;96,9
2019;Junio;102,3
2019;Julio;97
2019;Agosto;86
2019;Septiembre;80,7
2019;Octubre;73,3
2019;Noviembre;77,4
2019;Diciembre;77,7
2020;Enero;87,2
2020;Febrero;85,7
2020;Marzo;63,3
2020;Abril;49,9
2020;Mayo;52,9
2020;Junio;60,7
2020;Julio;53,1
2020;Agosto;49,9
2020;Septiembre;49,5
2020;Octubre;48,5
2020;Noviembre;55,7
2020;Diciembre;63,1
2021;Enero;55,7
2021;Febrero;65,9
2021;Marzo;73
2021;Abril;77,8
2021;Mayo;89
2021;Junio;97,5
2021;Julio;91,9
2021;Agosto;91,6
2021;Septiembre;98,3
2021;Octubre;97,3
2021;Noviembre;84,6
2021;Diciembre;81,3
2022;Enero;89,3
2022;Febrero;89,8
2022;Marzo;53,8
2022;Abril;74,6
2022;Mayo;76
2022;Junio;65,8
2022;Julio;55,5
2022;Septiembre;55,7
2022;Octubre;54,7
2022;Noviembre;60,5
2022;Diciembre;68
2023;Enero;73
2023;Febrero;71,6
2023;Marzo;67,4
2023;Abril;72,9
2023;Mayo;81,5
2023;Junio;92,4
2023;Julio;94,4
2023;Septiembre;77,2
2023;Octubre;70,5
2023;Noviembre;76,7
2023;Diciembre;77,6
2024;Enero;78,6
2024;Febrero;78,4
2024;Marzo;82,5
2024;Abril;84,5
2024;Mayo;83,8
2024;Junio;88,4
2024;Julio;89,4
2024;Septiembre;84,8
2024;Octubre;79,6
2024;Noviembre;80,6
2024;Diciembre;85
2025;Enero;84,9
2025;Febrero;81,4
;;
;;
"Métrica:""Confianza del consumidor""";;
"Fuente:""CIS""";;
"Clasificación:""""";;
"Unidad:""Indicador de Confianza de los Consumidores""";;
"Escala:""Unidades""";;
"EscalaFactorPotencia10:""0""";;
"SonDatosNumericos:""True""";;
;;
;;
"Url:""https://www.epdata.es/evolucion-confianza-consumidor-2004/a66415fd-68e0-4778-baf0-36799e09f9d7/espana/106""";;
"Titulo:""Evolución de la confianza del consumidor desde 2004""";;
"Subtitulo:""""";;
